triple_count,entity_count,predicate_count,encoding,index_mode,qubits,dimension,preprocessing_time_ms,encoding_time_ms,circuit_construction_time_ms,transpilation_time_ms,simulation_time_ms,total_time_ms,circuit_depth,gate_count,transpiled_depth,transpiled_gate_count,status,notes
6,3,5,basis,entity-predicate-object,7,128,5.015,0.029,0.458,--,0.167,29.327,1,1,170,182,success,software-level observation; no quantum-advantage claim
6,3,5,amplitude,compact,3,8,1.051,0.083,0.089,--,0.095,5.47,1,1,10,14,success,software-level observation; no quantum-advantage claim
6,3,5,phase,sequential-index,3,8,0.893,0.155,0.232,--,0.923,8.193,3,5,18,26,success,software-level observation; no quantum-advantage claim
6,3,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
6,3,5,basis,entity-predicate-object,7,128,0.914,0.033,0.198,--,0.134,23.377,1,1,170,182,success,software-level observation; no quantum-advantage claim
6,3,5,amplitude,compact,3,8,0.911,0.079,0.075,--,0.081,5.005,1,1,10,14,success,software-level observation; no quantum-advantage claim
6,3,5,phase,sequential-index,3,8,0.802,0.149,0.187,--,0.621,6.154,3,5,18,26,success,software-level observation; no quantum-advantage claim
6,3,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
6,3,5,basis,entity-predicate-object,7,128,0.885,0.025,0.171,--,0.131,21.831,1,1,170,182,success,software-level observation; no quantum-advantage claim
6,3,5,amplitude,compact,3,8,0.886,0.077,0.189,--,0.082,7.308,1,1,10,14,success,software-level observation; no quantum-advantage claim
6,3,5,phase,sequential-index,3,8,0.866,0.141,0.182,--,0.872,6.983,3,5,18,26,success,software-level observation; no quantum-advantage claim
6,3,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
10,5,5,basis,entity-predicate-object,9,512,9.253,0.036,0.467,--,0.219,111.189,1,1,985,1002,success,software-level observation; no quantum-advantage claim
10,5,5,amplitude,compact,4,16,1.094,0.085,0.087,--,0.102,6.532,1,1,19,26,success,software-level observation; no quantum-advantage claim
10,5,5,phase,sequential-index,4,16,0.933,0.194,0.216,--,0.691,8.478,3,6,40,54,success,software-level observation; no quantum-advantage claim
10,5,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
10,5,5,basis,entity-predicate-object,9,512,1.078,0.057,0.595,--,0.214,112.359,1,1,985,1002,success,software-level observation; no quantum-advantage claim
10,5,5,amplitude,compact,4,16,1.397,0.087,0.238,--,0.11,10.916,1,1,19,26,success,software-level observation; no quantum-advantage claim
10,5,5,phase,sequential-index,4,16,1.368,0.532,0.246,--,0.805,12.629,3,6,40,54,success,software-level observation; no quantum-advantage claim
10,5,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
10,5,5,basis,entity-predicate-object,9,512,1.009,0.037,0.455,--,0.229,109.698,1,1,985,1002,success,software-level observation; no quantum-advantage claim
10,5,5,amplitude,compact,4,16,1.507,0.138,0.131,--,0.107,7.682,1,1,19,26,success,software-level observation; no quantum-advantage claim
10,5,5,phase,sequential-index,4,16,1.329,0.275,0.307,--,1.168,11.183,3,6,40,54,success,software-level observation; no quantum-advantage claim
10,5,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
25,12,5,basis,entity-predicate-object,11,2048,8.931,0.079,1.627,--,0.397,387.543,1,1,4074,4094,success,software-level observation; no quantum-advantage claim
25,12,5,amplitude,compact,5,32,1.965,0.128,0.172,--,0.222,10.491,1,1,20,30,success,software-level observation; no quantum-advantage claim
25,12,5,phase,sequential-index,5,32,1.72,0.4,0.385,--,0.845,12.433,3,7,93,119,success,software-level observation; no quantum-advantage claim
25,12,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
25,12,5,basis,entity-predicate-object,11,2048,1.349,0.08,1.443,--,0.41,379.59,1,1,4074,4094,success,software-level observation; no quantum-advantage claim
25,12,5,amplitude,compact,5,32,1.726,0.121,0.146,--,0.177,9.6,1,1,20,30,success,software-level observation; no quantum-advantage claim
25,12,5,phase,sequential-index,5,32,1.509,0.42,0.36,--,1.046,12.59,3,7,93,119,success,software-level observation; no quantum-advantage claim
25,12,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
25,12,5,basis,entity-predicate-object,11,2048,1.442,0.089,1.617,--,0.38,388.909,1,1,4074,4094,success,software-level observation; no quantum-advantage claim
25,12,5,amplitude,compact,5,32,1.392,0.1,0.119,--,0.307,9.18,1,1,20,30,success,software-level observation; no quantum-advantage claim
25,12,5,phase,sequential-index,5,32,1.899,0.431,0.36,--,0.805,12.027,3,7,93,119,success,software-level observation; no quantum-advantage claim
25,12,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
50,25,5,basis,entity-predicate-object,13,8192,9.243,0.14,5.092,--,1.149,1566.966,1,1,16358,16382,success,software-level observation; no quantum-advantage claim
50,25,5,amplitude,compact,6,64,2.084,0.914,0.363,--,0.574,17.989,1,1,82,94,success,software-level observation; no quantum-advantage claim
50,25,5,phase,sequential-index,6,64,1.964,0.715,0.675,--,1.377,45.508,3,8,226,260,success,software-level observation; no quantum-advantage claim
50,25,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
50,25,5,basis,entity-predicate-object,13,8192,1.906,0.152,6.424,--,0.752,1685.806,1,1,16358,16382,success,software-level observation; no quantum-advantage claim
50,25,5,amplitude,compact,6,64,2.463,0.149,0.198,--,0.411,20.057,1,1,82,94,success,software-level observation; no quantum-advantage claim
50,25,5,phase,sequential-index,6,64,2.077,0.927,0.785,--,1.438,25.479,3,8,226,260,success,software-level observation; no quantum-advantage claim
50,25,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
50,25,5,basis,entity-predicate-object,13,8192,2.155,0.149,5.89,--,0.747,1607.816,1,1,16358,16382,success,software-level observation; no quantum-advantage claim
50,25,5,amplitude,compact,6,64,2.793,0.159,0.225,--,0.333,20.707,1,1,82,94,success,software-level observation; no quantum-advantage claim
50,25,5,phase,sequential-index,6,64,2.003,0.785,0.833,--,1.571,24.937,3,8,226,260,success,software-level observation; no quantum-advantage claim
50,25,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
100,50,5,basis,entity-predicate-object,15,32768,15.322,0.677,39.375,--,2.596,353.763,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.
100,50,5,amplitude,compact,7,128,2.966,0.151,0.189,--,0.518,26.665,1,1,143,158,success,software-level observation; no quantum-advantage claim
100,50,5,phase,sequential-index,7,128,3.772,1.671,3.772,--,5.853,54.575,3,9,479,530,success,software-level observation; no quantum-advantage claim
100,50,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
100,50,5,basis,entity-predicate-object,15,32768,3.105,0.291,21.917,--,1.515,333.134,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.
100,50,5,amplitude,compact,7,128,4.785,0.154,0.207,--,0.577,27.914,1,1,143,158,success,software-level observation; no quantum-advantage claim
100,50,5,phase,sequential-index,7,128,4.105,1.418,4.048,--,5.692,51.499,3,9,479,530,success,software-level observation; no quantum-advantage claim
100,50,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
100,50,5,basis,entity-predicate-object,15,32768,3.103,0.28,20.75,--,1.442,376.175,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.
100,50,5,amplitude,compact,7,128,4.551,0.171,0.2,--,0.523,35.065,1,1,143,158,success,software-level observation; no quantum-advantage claim
100,50,5,phase,sequential-index,7,128,3.143,1.432,3.689,--,7.206,53.631,3,9,479,530,success,software-level observation; no quantum-advantage claim
100,50,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
250,125,5,basis,entity-predicate-object,17,131072,18.515,0.7,115.158,--,5.905,1543.33,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 17 qubits and --max-metric-qubits is 14.
250,125,5,amplitude,compact,8,256,9.788,0.258,0.299,--,1.443,76.291,1,1,431,446,success,software-level observation; no quantum-advantage claim
250,125,5,phase,sequential-index,8,256,6.492,3.474,34.918,--,52.73,197.596,3,10,1271,1350,success,software-level observation; no quantum-advantage claim
250,125,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
250,125,5,basis,entity-predicate-object,17,131072,6.689,0.7,114.246,--,6.211,1564.275,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 17 qubits and --max-metric-qubits is 14.
250,125,5,amplitude,compact,8,256,8.362,0.518,0.528,--,1.309,67.058,1,1,431,446,success,software-level observation; no quantum-advantage claim
250,125,5,phase,sequential-index,8,256,6.817,4.404,33.698,--,54.15,191.175,3,10,1271,1350,success,software-level observation; no quantum-advantage claim
250,125,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
250,125,5,basis,entity-predicate-object,17,131072,6.26,1.033,91.093,--,5.185,1444.56,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 17 qubits and --max-metric-qubits is 14.
250,125,5,amplitude,compact,8,256,7.066,2.355,0.306,--,1.337,68.802,1,1,431,446,success,software-level observation; no quantum-advantage claim
250,125,5,phase,sequential-index,8,256,6.07,3.743,32.758,--,51.711,190.751,3,10,1271,1350,success,software-level observation; no quantum-advantage claim
250,125,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
500,250,5,basis,entity-predicate-object,19,524288,23.912,1.534,395.093,--,16.518,6849.953,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 19 qubits and --max-metric-qubits is 14.
500,250,5,amplitude,compact,9,512,20.361,0.435,0.489,--,2.708,124.006,1,1,684,702,success,software-level observation; no quantum-advantage claim
500,250,5,phase,sequential-index,9,512,15.262,11.02,475.214,--,664.783,1517.02,3,11,2593,2724,success,software-level observation; no quantum-advantage claim
500,250,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
500,250,5,basis,entity-predicate-object,19,524288,16.139,1.46,397.143,--,16.087,6642.152,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 19 qubits and --max-metric-qubits is 14.
500,250,5,amplitude,compact,9,512,22.623,0.458,0.466,--,2.879,126.263,1,1,684,702,success,software-level observation; no quantum-advantage claim
500,250,5,phase,sequential-index,9,512,12.516,6.529,463.555,--,635.837,1451.659,3,11,2593,2724,success,software-level observation; no quantum-advantage claim
500,250,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
500,250,5,basis,entity-predicate-object,19,524288,13.22,1.658,368.65,--,14.539,6799.045,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 19 qubits and --max-metric-qubits is 14.
500,250,5,amplitude,compact,9,512,27.367,0.416,0.471,--,2.764,130.453,1,1,684,702,success,software-level observation; no quantum-advantage claim
500,250,5,phase,sequential-index,9,512,13.749,7.203,486.546,--,649.746,1503.013,3,11,2593,2724,success,software-level observation; no quantum-advantage claim
500,250,5,combined,unsupported,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined synthetic scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
