dataset_name,triple_count,entity_count,predicate_count,encoding,qubits,dimension,preprocessing_time_ms,encoding_time_ms,circuit_construction_time_ms,transpilation_time_ms,simulation_time_ms,total_time_ms,circuit_depth,gate_count,transpiled_depth,transpiled_gate_count,status,notes
exampleV3,129,71,16,basis,18,262144,4.103,0.355,200.507,--,6.215,3201.216,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.
exampleV3,129,71,16,amplitude,8,256,4.103,0.187,0.278,--,0.851,33.591,1,1,10,30,success,software-level observation; no quantum-advantage claim
exampleV3,129,71,16,phase,8,256,4.103,2.47,35.623,--,54.435,162.541,3,10,979,1066,success,software-level observation; no quantum-advantage claim
exampleV3,129,71,16,combined,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined real-KG scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
productsSmall,129,71,16,basis,18,262144,25.042,0.352,200.923,--,6.668,3361.365,1,1,--,--,success,software-level observation; no quantum-advantage claim; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.
productsSmall,129,71,16,amplitude,8,256,25.042,0.21,0.332,--,0.907,56.168,1,1,10,30,success,software-level observation; no quantum-advantage claim
productsSmall,129,71,16,phase,8,256,25.042,2.912,37.398,--,58.154,184.825,3,10,979,1066,success,software-level observation; no quantum-advantage claim
productsSmall,129,71,16,combined,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined real-KG scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
DecodedOntologies_V2,500,445,5,basis,21,2097152,123.135,1.41,1472.474,--,35.277,29895.177,1,1,--,--,success,software-level observation; no quantum-advantage claim; deterministically truncated from 3871 triples to 500; Transpiled metrics skipped because the circuit has 21 qubits and --max-metric-qubits is 14.
DecodedOntologies_V2,500,445,5,amplitude,9,512,123.135,0.465,0.478,--,2.865,266.8,1,1,684,702,success,software-level observation; no quantum-advantage claim; deterministically truncated from 3871 triples to 500
DecodedOntologies_V2,500,445,5,phase,9,512,123.135,7.417,496.126,--,806.968,1782.988,3,11,2883,3019,success,software-level observation; no quantum-advantage claim; deterministically truncated from 3871 triples to 500
DecodedOntologies_V2,500,445,5,combined,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined real-KG scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
Aristotle,8,10,3,basis,10,1024,16.255,0.031,0.863,--,0.258,298.558,1,1,2028,2046,success,software-level observation; no quantum-advantage claim
Aristotle,8,10,3,amplitude,3,8,16.255,0.086,0.114,--,0.092,20.01,1,1,2,6,success,software-level observation; no quantum-advantage claim
Aristotle,8,10,3,phase,3,8,16.255,0.182,0.224,--,0.701,21.524,3,5,11,20,success,software-level observation; no quantum-advantage claim
Aristotle,8,10,3,combined,--,--,--,--,--,--,--,--,--,--,--,--,skipped,Combined real-KG scaling is not supported by the existing scalability runner; skipped. software-level observation; no quantum-advantage claim
