dataset_category,dataset_name,dataset_path,dataset_size,num_triples,num_entities,num_predicates,encoding,repetition,success,status,error_message,total_runtime,rdf_parse_time,id_mapping_time,state_preparation_time,circuit_construction_time,simulation_time,measurement_time,qubits,circuit_depth,gate_count,operation_counts,logical_circuit_depth,logical_gate_count,logical_operation_counts,decomposed_circuit_depth,decomposed_gate_count,decomposed_operation_counts,transpiled_circuit_depth,transpiled_gate_count,transpiled_operation_counts,metric_status,metric_error,shots,backend,started_at_utc,finished_at_utc,entity_bit_width,predicate_bit_width,measurement_circuit_preparation_time,decoding_time,completed_total_runtime,phase_marker_mode,phase_requested_predicate,phase_effective_predicate,phase_marked_triples,phase_total_triples,phase_marked_fraction,phase_warning,max_basis_simulation_qubits,max_phase_diagonal_qubits,max_metric_qubits,timeout_seconds,weight_strategy,phase_mark_predicate,phase_angle,decompose_reps,compute_decomposed_metrics,compute_transpiled_metrics,rdf_format
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,basis,1,True,success,,0.3020865,0.0051976,0.0002406,0.0004287,0.0213713,0.0014083,0.273134,15,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:40:27+00:00,2026-05-20T13:40:27+00:00,6,3,0.0,1.81e-05,0.3020865,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,basis,2,True,success,,0.3066997,0.0051922,0.0002534,0.0004316,0.0209033,0.0014113,0.2782022,15,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:40:28+00:00,2026-05-20T13:40:29+00:00,6,3,0.0,1.44e-05,0.3066997,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,basis,3,True,success,,0.3086793,0.0059998,0.0002817,0.0004924,0.0249761,0.0014822,0.2751009,15,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:40:30+00:00,2026-05-20T13:40:30+00:00,6,3,0.0,2.21e-05,0.3086793,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,basis,4,True,success,,0.2880496,0.0052069,0.000246,0.0004297,0.0228459,0.0015753,0.2574278,15,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:40:31+00:00,2026-05-20T13:40:32+00:00,6,3,0.0,1.38e-05,0.2880496,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,basis,5,True,success,,0.3025023,0.0084981,0.0004354,0.0005448,0.0241555,0.0014366,0.2670932,15,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 15 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:40:33+00:00,2026-05-20T13:40:33+00:00,6,3,0.0,1.35e-05,0.3025023,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,amplitude,1,True,success,,0.0400143,0.0054492,0.0002588,0.0003546,0.0004015,0.0006191,0.001497,7,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,8,"{""reset"": 7, ""state_preparation"": 1}",143,158,"{""cx"": 72, ""reset"": 7, ""u"": 79}",success,,1024,Qiskit Statevector,2026-05-20T13:40:34+00:00,2026-05-20T13:40:34+00:00,6,3,0.0,1.28e-05,0.0400143,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,amplitude,2,True,success,,0.0396367,0.0054237,0.0002478,0.0004202,0.000458,0.0005795,0.0011659,7,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,8,"{""reset"": 7, ""state_preparation"": 1}",143,158,"{""cx"": 72, ""reset"": 7, ""u"": 79}",success,,1024,Qiskit Statevector,2026-05-20T13:40:35+00:00,2026-05-20T13:40:35+00:00,6,3,0.0,1.35e-05,0.0396367,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,amplitude,3,True,success,,0.0394982,0.0056964,0.0002664,0.0003726,0.0004122,0.0005519,0.0011605,7,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,8,"{""reset"": 7, ""state_preparation"": 1}",143,158,"{""cx"": 72, ""reset"": 7, ""u"": 79}",success,,1024,Qiskit Statevector,2026-05-20T13:40:36+00:00,2026-05-20T13:40:36+00:00,6,3,0.0,1.27e-05,0.0394982,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,amplitude,4,True,success,,0.0377308,0.0051183,0.0002602,0.0003495,0.0003705,0.0005609,0.0011751,7,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,8,"{""reset"": 7, ""state_preparation"": 1}",143,158,"{""cx"": 72, ""reset"": 7, ""u"": 79}",success,,1024,Qiskit Statevector,2026-05-20T13:40:37+00:00,2026-05-20T13:40:37+00:00,6,3,0.0,1.26e-05,0.0377308,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
synthetic,synthetic_100,data\scaling\synthetic_100.ttl,100,100,50,5,amplitude,5,True,success,,0.0383152,0.0051132,0.0002437,0.0003448,0.0003912,0.0005746,0.0011801,7,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,8,"{""reset"": 7, ""state_preparation"": 1}",143,158,"{""cx"": 72, ""reset"": 7, ""u"": 79}",success,,1024,Qiskit Statevector,2026-05-20T13:40:38+00:00,2026-05-20T13:40:38+00:00,6,3,0.0,1.22e-05,0.0383152,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
