dataset_category,dataset_name,dataset_path,dataset_size,num_triples,num_entities,num_predicates,encoding,repetition,success,status,error_message,total_runtime,rdf_parse_time,id_mapping_time,state_preparation_time,circuit_construction_time,simulation_time,measurement_time,qubits,circuit_depth,gate_count,operation_counts,logical_circuit_depth,logical_gate_count,logical_operation_counts,decomposed_circuit_depth,decomposed_gate_count,decomposed_operation_counts,transpiled_circuit_depth,transpiled_gate_count,transpiled_operation_counts,metric_status,metric_error,shots,backend,started_at_utc,finished_at_utc,entity_bit_width,predicate_bit_width,measurement_circuit_preparation_time,decoding_time,completed_total_runtime,phase_marker_mode,phase_requested_predicate,phase_effective_predicate,phase_marked_triples,phase_total_triples,phase_marked_fraction,phase_warning,max_basis_simulation_qubits,max_phase_diagonal_qubits,max_metric_qubits,timeout_seconds,weight_strategy,phase_mark_predicate,phase_angle,decompose_reps,compute_decomposed_metrics,compute_transpiled_metrics,rdf_format
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,basis,1,True,success,,2.808066,0.0070655,0.0002995,0.0003666,0.1928213,0.0065098,2.5979098,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:00+00:00,2026-05-20T13:53:02+00:00,7,4,0.0,1.8e-05,2.808066,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,basis,2,True,success,,2.8418266,0.0068147,0.00029,0.0003811,0.1805116,0.0055944,2.645665,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:04+00:00,2026-05-20T13:53:06+00:00,7,4,0.0,1.77e-05,2.8418266,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,basis,3,True,success,,2.8195345,0.0073734,0.0004028,0.0003898,0.1886938,0.0056119,2.614576,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:07+00:00,2026-05-20T13:53:10+00:00,7,4,0.0,1.67e-05,2.8195345,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,basis,4,True,success,,2.9044588,0.0070512,0.0003392,0.0003766,0.1906604,0.006137,2.6974207,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:11+00:00,2026-05-20T13:53:14+00:00,7,4,0.0,1.69e-05,2.9044588,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,basis,5,True,success,,2.8511148,0.0070277,0.0002814,0.0005292,0.1926346,0.005904,2.6425587,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:15+00:00,2026-05-20T13:53:18+00:00,7,4,0.0,1.71e-05,2.8511148,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,amplitude,1,True,success,,0.0452383,0.007258,0.0004927,0.0004057,0.0005108,0.0011385,0.0021432,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:19+00:00,2026-05-20T13:53:19+00:00,7,4,0.0,1.56e-05,0.0452383,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,amplitude,2,True,success,,0.0444397,0.0068986,0.0003181,0.0002541,0.0006077,0.0013134,0.0027791,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:20+00:00,2026-05-20T13:53:20+00:00,7,4,0.0,1.54e-05,0.0444397,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,amplitude,3,True,success,,0.0438146,0.0070861,0.0002985,0.0003656,0.0006531,0.00079,0.001837,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:21+00:00,2026-05-20T13:53:21+00:00,7,4,0.0,1.52e-05,0.0438146,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,amplitude,4,True,success,,0.0440126,0.0070226,0.0003104,0.0002422,0.0005166,0.0007878,0.0019663,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:22+00:00,2026-05-20T13:53:23+00:00,7,4,0.0,1.68e-05,0.0440126,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,amplitude,5,True,success,,0.0479004,0.0110717,0.0003284,0.0002481,0.0004997,0.0010365,0.0019037,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:24+00:00,2026-05-20T13:53:24+00:00,7,4,0.0,1.55e-05,0.0479004,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
