dataset_category,dataset_name,dataset_path,dataset_size,num_triples,encoding,run_count,success_count,failure_count,statuses,mean_total_runtime,std_total_runtime,mean_completed_total_runtime,std_completed_total_runtime,mean_rdf_parse_time,mean_id_mapping_time,mean_state_preparation_time,mean_circuit_construction_time,mean_simulation_time,mean_measurement_time,mean_qubits,mean_circuit_depth,mean_gate_count,mean_logical_circuit_depth,mean_logical_gate_count,mean_decomposed_circuit_depth,mean_decomposed_gate_count,mean_transpiled_circuit_depth,mean_transpiled_gate_count,mean_phase_marked_triples,mean_phase_marked_fraction,shots,backend
real,Aristotle,data\real_kgs\Aristotle.xml,8,8,amplitude,5,5,0,success,0.01964132,0.001172997,0.01964132,0.001172997,0.00440034,0.00024008,0.00016086,0.0003361,0.00013798,0.00061378,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,,,1024,Qiskit Statevector
real,Aristotle,data\real_kgs\Aristotle.xml,8,8,basis,5,5,0,success,0.19624918,0.003732445,0.19624918,0.003732445,0.00469452,0.0002364,4.074e-05,0.0011562,0.00026294,0.00554518,10.0,1.0,1.0,1.0,1.0,2.0,11.0,2028.0,2046.0,,,1024,Qiskit Statevector
real,Aristotle,data\real_kgs\Aristotle.xml,8,8,phase,5,5,0,success,0.02323216,0.001257138,0.02323216,0.001257138,0.00448358,0.00021204,0.00026984,0.00054076,0.00100662,0.00070636,3.0,3.0,5.0,3.0,5.0,11.0,18.0,11.0,20.0,6.0,0.75,1024,Qiskit Statevector
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,amplitude,5,5,0,success,0.04508112,0.001668103,0.04508112,0.001668103,0.0078674,0.00034962,0.00030314,0.00055758,0.00101324,0.00212586,8.0,1.0,1.0,1.0,1.0,2.0,9.0,10.0,30.0,,,1024,Qiskit Statevector
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,basis,5,5,0,success,2.84500014,0.037401277,2.84500014,0.037401277,0.0070665,0.00032258,0.00040866,0.18906434,0.00595142,2.63962604,18.0,1.0,1.0,1.0,1.0,,,,,,,1024,Qiskit Statevector
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,phase,5,5,0,success,1.08975718,0.046349481,1.08975718,0.046349481,0.00702008,0.00038708,0.00220098,0.03540924,0.05324346,0.0031113,8.0,3.0,10.0,3.0,10.0,971.0,1045.0,979.0,1066.0,59.0,0.457364341,1024,Qiskit Statevector
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,amplitude,5,5,0,success,0.04111854,0.000523656,0.04111854,0.000523656,0.0090042,0.00028024,0.00024114,0.0004684,0.000757,0.0016844,8.0,1.0,1.0,1.0,1.0,2.0,9.0,10.0,30.0,,,1024,Qiskit Statevector
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,basis,5,5,0,success,2.81287986,0.027058216,2.81287986,0.027058216,0.00915192,0.00028136,0.00040232,0.17354496,0.00576482,2.6216552,18.0,1.0,1.0,1.0,1.0,,,,,,,1024,Qiskit Statevector
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,phase,5,5,0,success,1.04558042,0.009388,1.04558042,0.009388,0.0090797,0.00029564,0.00186048,0.03595178,0.05242216,0.0030711,8.0,3.0,10.0,3.0,10.0,971.0,1045.0,979.0,1066.0,59.0,0.457364341,1024,Qiskit Statevector
real,DecodedOntologies_V2,data\real_kgs\DecodedOntologies_V2.ttl,3871,3871,amplitude,5,5,0,success,1.00844232,0.018869243,1.00844232,0.018869243,0.08727024,0.00322106,0.00224312,0.00366754,0.03185442,0.02606,12.0,1.0,1.0,1.0,1.0,2.0,13.0,8038.0,8062.0,,,1024,Qiskit Statevector
real,DecodedOntologies_V2,data\real_kgs\DecodedOntologies_V2.ttl,3871,3871,basis,5,0,5,simulator_limit,0.10409246,0.006258733,,,0.0872039,0.0035067,0.01293336,,,,28.0,,,,,,,,,,,1024,Qiskit Statevector
real,DecodedOntologies_V2,data\real_kgs\DecodedOntologies_V2.ttl,3871,3871,phase,5,0,5,simulator_limit,0.14255744,0.004851446,,,0.08586948,0.00342044,0.05278582,,,,12.0,,,,,,,,,2083.0,0.538103849,1024,Qiskit Statevector
